expression,expected_result,wrapper,pair_id,family,source,target,expected_strategy
((exp(y*log(x)))/q) - ((x^y)/q),0,common_denominator_zero,exp_natural_log_power_alias,log_exp_inverse,exp(y*log(x)),x^y,log alias
((exp(y*log(x))) + 1)/((x^y) + 1),1,shifted_quotient_one,exp_natural_log_power_alias,log_exp_inverse,exp(y*log(x)),x^y,log alias
1/((exp(y*log(x)))+c) - 1/((x^y)+c),0,reciprocal_shifted_difference_zero,exp_natural_log_power_alias,log_exp_inverse,exp(y*log(x)),x^y,reciprocal shifted difference
1/(((exp(y*log(x)))+r/s)+c) - 1/(((x^y)+r/s)+c),0,reciprocal_shifted_difference_zero,exp_natural_log_power_alias_noise_fraction,log_exp_inverse,exp(y*log(x)),x^y,reciprocal shifted difference noise budget
exp(y*log(x)) - x^y,0,combined_additive_zero,exp_natural_log_power_alias_zero,log_exp_inverse,exp(y*log(x)),x^y,log alias
(x^y - exp(y*log(x))) + (u*v + u*w - u*(v+w)),0,combined_additive_zero,log_exp_inverse_reversed_collect_combined_zero,log_exp_inverse,exp(y*log(x)),x^y,collapse exact zero additive subexpressions
(exp(y*log(x)) - x^y) + k*(1/(1 + 1/(1+u)) - (1+u)/(2+u)),0,combined_additive_zero,log_exp_inverse_scaled_nested_fraction_depth4_combined_zero,log_exp_inverse,exp(y*log(x)),x^y,collapse exact zero additive subexpressions
(((exp(y*log(x)))^2) + m) - (((x^y)^2) + m),0,squared_passthrough_zero,exp_natural_log_power_alias_squared,log_exp_inverse,exp(y*log(x)),x^y,log alias
((((exp(y*log(x)))^2) + m)^2) - ((((x^y)^2) + m)^2),0,squared_passthrough_zero,exp_natural_log_power_alias_double_squared,log_exp_inverse,exp(y*log(x)),x^y,log alias
((10^(y*log10(x))) + m) - ((x^y) + m),0,additive_passthrough_zero,log10_power_alias,log_exp_inverse,10^(y*log10(x)),x^y,log10 alias
((ln((x*y)^2)+a) + m) - ((ln(x^2)+ln(y^2)+a) + m),0,additive_passthrough_zero,expand_log_grouped_power_with_passthrough,log_expand,ln((x*y)^2)+a,ln(x^2)+ln(y^2)+a,expand_log
k*(ln((x*y)^2)+a) - k*(ln(x^2)+ln(y^2)+a),0,scaled_difference_zero,expand_log_grouped_power_with_passthrough,log_expand,ln((x*y)^2)+a,ln(x^2)+ln(y^2)+a,expand_log
((ln((x*y)^2)+a)/q) - ((ln(x^2)+ln(y^2)+a)/q),0,common_denominator_zero,expand_log_grouped_power_with_passthrough,log_expand,ln((x*y)^2)+a,ln(x^2)+ln(y^2)+a,expand_log
((ln((x*y)^2)+a) + 1)/((ln(x^2)+ln(y^2)+a) + 1),1,shifted_quotient_one,expand_log_grouped_power_with_passthrough,log_expand,ln((x*y)^2)+a,ln(x^2)+ln(y^2)+a,expand_log
((2*ln(abs(x*y))+a) + m) - ((2*ln(abs(x))+2*ln(abs(y))+a) + m),0,additive_passthrough_zero,expand_log_grouped_abs_product_with_passthrough,log_expand,2*ln(abs(x*y))+a,2*ln(abs(x))+2*ln(abs(y))+a,expand_log
k*(2*ln(abs(x*y))+a) - k*(2*ln(abs(x))+2*ln(abs(y))+a),0,scaled_difference_zero,expand_log_grouped_abs_product_with_passthrough,log_expand,2*ln(abs(x*y))+a,2*ln(abs(x))+2*ln(abs(y))+a,expand_log
((2*ln(abs(x*y))+a)/q) - ((2*ln(abs(x))+2*ln(abs(y))+a)/q),0,common_denominator_zero,expand_log_grouped_abs_product_with_passthrough,log_expand,2*ln(abs(x*y))+a,2*ln(abs(x))+2*ln(abs(y))+a,expand_log
((2*ln(abs(x*y))+a) + 1)/((2*ln(abs(x))+2*ln(abs(y))+a) + 1),1,shifted_quotient_one,expand_log_grouped_abs_product_with_passthrough,log_expand,2*ln(abs(x*y))+a,2*ln(abs(x))+2*ln(abs(y))+a,expand_log
"((log(b,(x*y)^2)+a) + m) - ((2*log(b,x)+2*log(b,y)+a) + m)",0,additive_passthrough_zero,expand_log_grouped_general_base_power_with_passthrough,log_expand,"log(b,(x*y)^2)+a","2*log(b,x)+2*log(b,y)+a",expand_log
"k*(log(b,(x*y)^2)+a) - k*(2*log(b,x)+2*log(b,y)+a)",0,scaled_difference_zero,expand_log_grouped_general_base_power_with_passthrough,log_expand,"log(b,(x*y)^2)+a","2*log(b,x)+2*log(b,y)+a",expand_log
"((log(b,(x*y)^2)+a)/q) - ((2*log(b,x)+2*log(b,y)+a)/q)",0,common_denominator_zero,expand_log_grouped_general_base_power_with_passthrough,log_expand,"log(b,(x*y)^2)+a","2*log(b,x)+2*log(b,y)+a",expand_log
"((log(b,(x*y)^2)+a) + 1)/((2*log(b,x)+2*log(b,y)+a) + 1)",1,shifted_quotient_one,expand_log_grouped_general_base_power_with_passthrough,log_expand,"log(b,(x*y)^2)+a","2*log(b,x)+2*log(b,y)+a",expand_log
((ln(x) + ln(y)) + m) - ((ln(x*y)) + m),0,additive_passthrough_zero,contract_log_sum,log_contract,ln(x) + ln(y),ln(x*y),contract logs
k*(ln(x) + ln(y)) - k*(ln(x*y)),0,scaled_difference_zero,contract_log_sum,log_contract,ln(x) + ln(y),ln(x*y),contract logs
((ln(x) + ln(y))/q) - ((ln(x*y))/q),0,common_denominator_zero,contract_log_sum,log_contract,ln(x) + ln(y),ln(x*y),contract logs
((ln(x) + ln(y)) + 1)/((ln(x*y)) + 1),1,shifted_quotient_one,contract_log_sum,log_contract,ln(x) + ln(y),ln(x*y),contract logs
1/((ln(x) + ln(y))+c) - 1/((ln(x*y))+c),0,reciprocal_shifted_difference_zero,contract_log_sum,log_contract,ln(x) + ln(y),ln(x*y),reciprocal shifted difference
1/(((ln(x) + ln(y))+r/s)+c) - 1/(((ln(x*y))+r/s)+c),0,reciprocal_shifted_difference_zero,contract_log_sum_noise_fraction,log_contract,ln(x) + ln(y),ln(x*y),reciprocal shifted difference noise budget
(ln(x*y) - (ln(x) + ln(y))) + (u*v + u*w - u*(v+w)),0,combined_additive_zero,log_contract_reversed_collect_combined_zero,log_contract,ln(x)+ln(y),ln(x*y),collapse exact zero additive subexpressions
((ln(x) - ln(y)) + m) - ((ln(x/y)) + m),0,additive_passthrough_zero,contract_log_difference,log_contract,ln(x) - ln(y),ln(x/y),contract logs
k*(ln(x) - ln(y)) - k*(ln(x/y)),0,scaled_difference_zero,contract_log_difference,log_contract,ln(x) - ln(y),ln(x/y),contract logs
((ln(x) - ln(y))/q) - ((ln(x/y))/q),0,common_denominator_zero,contract_log_difference,log_contract,ln(x) - ln(y),ln(x/y),contract logs
((ln(x) - ln(y)) + 1)/((ln(x/y)) + 1),1,shifted_quotient_one,contract_log_difference,log_contract,ln(x) - ln(y),ln(x/y),contract logs
((2*ln(abs(x)) + ln(y) - ln(z) - ln(t)) + m) - ((ln((x^2*y)/(z*t))) + m),0,additive_passthrough_zero,contract_log_powered_two_denominator_factors,log_contract,2*ln(abs(x)) + ln(y) - ln(z) - ln(t),ln((x^2*y)/(z*t)),contract logs
k*(2*ln(abs(x)) + ln(y) - ln(z) - ln(t)) - k*(ln((x^2*y)/(z*t))),0,scaled_difference_zero,contract_log_powered_two_denominator_factors,log_contract,2*ln(abs(x)) + ln(y) - ln(z) - ln(t),ln((x^2*y)/(z*t)),contract logs
((2*ln(abs(x)) + ln(y) - ln(z) - ln(t))/q) - ((ln((x^2*y)/(z*t)))/q),0,common_denominator_zero,contract_log_powered_two_denominator_factors,log_contract,2*ln(abs(x)) + ln(y) - ln(z) - ln(t),ln((x^2*y)/(z*t)),contract logs
((2*ln(abs(x)) + ln(y) - ln(z) - ln(t)) + 1)/((ln((x^2*y)/(z*t))) + 1),1,shifted_quotient_one,contract_log_powered_two_denominator_factors,log_contract,2*ln(abs(x)) + ln(y) - ln(z) - ln(t),ln((x^2*y)/(z*t)),contract logs
"((2*log(b, x) + 3*log(b, y) - 2*log(b, z) - log(b, t)) + m) - ((log(b, (x^2*y^3)/(z^2*t))) + m)",0,additive_passthrough_zero,contract_log_general_base_powered_two_denominator_factors_with_powered_denominator,log_contract,"2*log(b, x) + 3*log(b, y) - 2*log(b, z) - log(b, t)","log(b, (x^2*y^3)/(z^2*t))",contract logs
"k*(2*log(b, x) + 3*log(b, y) - 2*log(b, z) - log(b, t)) - k*(log(b, (x^2*y^3)/(z^2*t)))",0,scaled_difference_zero,contract_log_general_base_powered_two_denominator_factors_with_powered_denominator,log_contract,"2*log(b, x) + 3*log(b, y) - 2*log(b, z) - log(b, t)","log(b, (x^2*y^3)/(z^2*t))",contract logs
"((2*log(b, x) + 3*log(b, y) - 2*log(b, z) - log(b, t))/q) - ((log(b, (x^2*y^3)/(z^2*t)))/q)",0,common_denominator_zero,contract_log_general_base_powered_two_denominator_factors_with_powered_denominator,log_contract,"2*log(b, x) + 3*log(b, y) - 2*log(b, z) - log(b, t)","log(b, (x^2*y^3)/(z^2*t))",contract logs
"((2*log(b, x) + 3*log(b, y) - 2*log(b, z) - log(b, t)) + 1)/((log(b, (x^2*y^3)/(z^2*t))) + 1)",1,shifted_quotient_one,contract_log_general_base_powered_two_denominator_factors_with_powered_denominator,log_contract,"2*log(b, x) + 3*log(b, y) - 2*log(b, z) - log(b, t)","log(b, (x^2*y^3)/(z^2*t))",contract logs
"((log(b,a)*log(a,c)) + m) - ((log(b,c)) + m)",0,additive_passthrough_zero,contract_log_change_of_base_chain,log_contract,"log(b,a)*log(a,c)","log(b,c)",contract logs
"k*(log(b,a)*log(a,c)) - k*(log(b,c))",0,scaled_difference_zero,contract_log_change_of_base_chain,log_contract,"log(b,a)*log(a,c)","log(b,c)",contract logs
"((log(b,a)*log(a,c))/q) - ((log(b,c))/q)",0,common_denominator_zero,contract_log_change_of_base_chain,log_contract,"log(b,a)*log(a,c)","log(b,c)",contract logs
"((log(b,a)*log(a,c)) + 1)/((log(b,c)) + 1)",1,shifted_quotient_one,contract_log_change_of_base_chain,log_contract,"log(b,a)*log(a,c)","log(b,c)",contract logs
((ln(x^2)+ln(y^2)) + m) - ((ln((x*y)^2)) + m),0,additive_passthrough_zero,contract_log_grouped_power,log_contract,ln(x^2)+ln(y^2),ln((x*y)^2),contract logs
k*(ln(x^2)+ln(y^2)) - k*(ln((x*y)^2)),0,scaled_difference_zero,contract_log_grouped_power,log_contract,ln(x^2)+ln(y^2),ln((x*y)^2),contract logs
((ln(x^2)+ln(y^2))/q) - ((ln((x*y)^2))/q),0,common_denominator_zero,contract_log_grouped_power,log_contract,ln(x^2)+ln(y^2),ln((x*y)^2),contract logs
((ln(x^2)+ln(y^2)) + 1)/((ln((x*y)^2)) + 1),1,shifted_quotient_one,contract_log_grouped_power,log_contract,ln(x^2)+ln(y^2),ln((x*y)^2),contract logs
((2*ln(abs(x))+2*ln(abs(y))) + m) - ((2*ln(abs(x*y))) + m),0,additive_passthrough_zero,contract_even_abs_logs_to_scaled_abs_product,log_contract,2*ln(abs(x))+2*ln(abs(y)),2*ln(abs(x*y)),contract logs
k*(2*ln(abs(x))+2*ln(abs(y))) - k*(2*ln(abs(x*y))),0,scaled_difference_zero,contract_even_abs_logs_to_scaled_abs_product,log_contract,2*ln(abs(x))+2*ln(abs(y)),2*ln(abs(x*y)),contract logs
((2*ln(abs(x))+2*ln(abs(y)))/q) - ((2*ln(abs(x*y)))/q),0,common_denominator_zero,contract_even_abs_logs_to_scaled_abs_product,log_contract,2*ln(abs(x))+2*ln(abs(y)),2*ln(abs(x*y)),contract logs
((2*ln(abs(x))+2*ln(abs(y))) + 1)/((2*ln(abs(x*y))) + 1),1,shifted_quotient_one,contract_even_abs_logs_to_scaled_abs_product,log_contract,2*ln(abs(x))+2*ln(abs(y)),2*ln(abs(x*y)),contract logs
"((2*log(b,x)+2*log(b,y)) + m) - ((log(b,(x*y)^2)) + m)",0,additive_passthrough_zero,contract_general_base_logs_to_grouped_power,log_contract,"2*log(b,x)+2*log(b,y)","log(b,(x*y)^2)",contract logs
"k*(2*log(b,x)+2*log(b,y)) - k*(log(b,(x*y)^2))",0,scaled_difference_zero,contract_general_base_logs_to_grouped_power,log_contract,"2*log(b,x)+2*log(b,y)","log(b,(x*y)^2)",contract logs
"((2*log(b,x)+2*log(b,y))/q) - ((log(b,(x*y)^2))/q)",0,common_denominator_zero,contract_general_base_logs_to_grouped_power,log_contract,"2*log(b,x)+2*log(b,y)","log(b,(x*y)^2)",contract logs
"((2*log(b,x)+2*log(b,y)) + 1)/((log(b,(x*y)^2)) + 1)",1,shifted_quotient_one,contract_general_base_logs_to_grouped_power,log_contract,"2*log(b,x)+2*log(b,y)","log(b,(x*y)^2)",contract logs
((ln(x^2)+ln(y^2)+a) + m) - ((ln((x*y)^2)+a) + m),0,additive_passthrough_zero,contract_log_grouped_power_with_passthrough,log_contract,ln(x^2)+ln(y^2)+a,ln((x*y)^2)+a,contract logs
k*(ln(x^2)+ln(y^2)+a) - k*(ln((x*y)^2)+a),0,scaled_difference_zero,contract_log_grouped_power_with_passthrough,log_contract,ln(x^2)+ln(y^2)+a,ln((x*y)^2)+a,contract logs
((ln(x^2)+ln(y^2)+a)/q) - ((ln((x*y)^2)+a)/q),0,common_denominator_zero,contract_log_grouped_power_with_passthrough,log_contract,ln(x^2)+ln(y^2)+a,ln((x*y)^2)+a,contract logs
((ln(x^2)+ln(y^2)+a) + 1)/((ln((x*y)^2)+a) + 1),1,shifted_quotient_one,contract_log_grouped_power_with_passthrough,log_contract,ln(x^2)+ln(y^2)+a,ln((x*y)^2)+a,contract logs
((2*ln(abs(x))+2*ln(abs(y))+a) + m) - ((2*ln(abs(x*y))+a) + m),0,additive_passthrough_zero,contract_even_abs_logs_to_scaled_abs_product_with_passthrough,log_contract,2*ln(abs(x))+2*ln(abs(y))+a,2*ln(abs(x*y))+a,contract logs
k*(2*ln(abs(x))+2*ln(abs(y))+a) - k*(2*ln(abs(x*y))+a),0,scaled_difference_zero,contract_even_abs_logs_to_scaled_abs_product_with_passthrough,log_contract,2*ln(abs(x))+2*ln(abs(y))+a,2*ln(abs(x*y))+a,contract logs
((2*ln(abs(x))+2*ln(abs(y))+a)/q) - ((2*ln(abs(x*y))+a)/q),0,common_denominator_zero,contract_even_abs_logs_to_scaled_abs_product_with_passthrough,log_contract,2*ln(abs(x))+2*ln(abs(y))+a,2*ln(abs(x*y))+a,contract logs
((2*ln(abs(x))+2*ln(abs(y))+a) + 1)/((2*ln(abs(x*y))+a) + 1),1,shifted_quotient_one,contract_even_abs_logs_to_scaled_abs_product_with_passthrough,log_contract,2*ln(abs(x))+2*ln(abs(y))+a,2*ln(abs(x*y))+a,contract logs
"((2*log(b,x)+2*log(b,y)+a) + m) - ((log(b,(x*y)^2)+a) + m)",0,additive_passthrough_zero,contract_general_base_logs_to_grouped_power_with_passthrough,log_contract,"2*log(b,x)+2*log(b,y)+a","log(b,(x*y)^2)+a",contract logs
"k*(2*log(b,x)+2*log(b,y)+a) - k*(log(b,(x*y)^2)+a)",0,scaled_difference_zero,contract_general_base_logs_to_grouped_power_with_passthrough,log_contract,"2*log(b,x)+2*log(b,y)+a","log(b,(x*y)^2)+a",contract logs
"((2*log(b,x)+2*log(b,y)+a)/q) - ((log(b,(x*y)^2)+a)/q)",0,common_denominator_zero,contract_general_base_logs_to_grouped_power_with_passthrough,log_contract,"2*log(b,x)+2*log(b,y)+a","log(b,(x*y)^2)+a",contract logs
"((2*log(b,x)+2*log(b,y)+a) + 1)/((log(b,(x*y)^2)+a) + 1)",1,shifted_quotient_one,contract_general_base_logs_to_grouped_power_with_passthrough,log_contract,"2*log(b,x)+2*log(b,y)+a","log(b,(x*y)^2)+a",contract logs
((sin(2*x)) + m) - ((2*sin(x)*cos(x)) + m),0,additive_passthrough_zero,expand_trig_double_sin,trig_expand,sin(2*x),2*sin(x)*cos(x),expand trig
k*(sin(2*x)) - k*(2*sin(x)*cos(x)),0,scaled_difference_zero,expand_trig_double_sin,trig_expand,sin(2*x),2*sin(x)*cos(x),expand trig
((sin(2*x))/q) - ((2*sin(x)*cos(x))/q),0,common_denominator_zero,expand_trig_double_sin,trig_expand,sin(2*x),2*sin(x)*cos(x),expand trig
((sin(2*x)) + 1)/((2*sin(x)*cos(x)) + 1),1,shifted_quotient_one,expand_trig_double_sin,trig_expand,sin(2*x),2*sin(x)*cos(x),expand trig
1/((sin(2*x))+c) - 1/((2*sin(x)*cos(x))+c),0,reciprocal_shifted_difference_zero,expand_trig_double_sin,trig_expand,sin(2*x),2*sin(x)*cos(x),reciprocal shifted difference
1/(((sin(2*x))+r/s)+c) - 1/(((2*sin(x)*cos(x))+r/s)+c),0,reciprocal_shifted_difference_zero,expand_trig_double_sin_noise_fraction,trig_expand,sin(2*x),2*sin(x)*cos(x),reciprocal shifted difference noise budget
(sin(2*x)) - (2*sin(x)*cos(x)),0,combined_additive_zero,expand_trig_double_sin_zero,trig_expand,sin(2*x),2*sin(x)*cos(x),expand trig
(sin(x-y) - (sin(x)*cos(y)-cos(x)*sin(y))) + (((u+v)*(u-v)) - (u^2-v^2)),0,combined_additive_zero,trig_expand_angle_diff_factor_combined_zero,trig_expand,sin(x-y),sin(x)*cos(y)-cos(x)*sin(y),collapse exact zero additive subexpressions
((sin(2*x)) - (2*sin(x)*cos(x))) + k*(1/(1 + 1/(1+u)) - (1+u)/(2+u)),0,combined_additive_zero,trig_expand_double_angle_scaled_nested_fraction_depth4_combined_zero,trig_expand,sin(2*x),2*sin(x)*cos(x),collapse exact zero additive subexpressions
(((sin(2*x))^2) + m) - (((2*sin(x)*cos(x))^2) + m),0,squared_passthrough_zero,expand_trig_double_sin_squared,trig_expand,sin(2*x),2*sin(x)*cos(x),expand trig
((((sin(2*x))^2) + m)^2) - ((((2*sin(x)*cos(x))^2) + m)^2),0,squared_passthrough_zero,expand_trig_double_sin_double_squared,trig_expand,sin(2*x),2*sin(x)*cos(x),expand trig
((2*sin(x)*cos(y)) + m) - ((sin(x+y) + sin(x-y)) + m),0,additive_passthrough_zero,expand_trig_product_to_sum_sin_cos,trig_expand,2*sin(x)*cos(y),sin(x+y) + sin(x-y),expand trig
k*(2*sin(x)*cos(y)) - k*(sin(x+y) + sin(x-y)),0,scaled_difference_zero,expand_trig_product_to_sum_sin_cos,trig_expand,2*sin(x)*cos(y),sin(x+y) + sin(x-y),expand trig
((2*sin(x)*cos(y))/q) - ((sin(x+y) + sin(x-y))/q),0,common_denominator_zero,expand_trig_product_to_sum_sin_cos,trig_expand,2*sin(x)*cos(y),sin(x+y) + sin(x-y),expand trig
((2*sin(x)*cos(y)) + 1)/((sin(x+y) + sin(x-y)) + 1),1,shifted_quotient_one,expand_trig_product_to_sum_sin_cos,trig_expand,2*sin(x)*cos(y),sin(x+y) + sin(x-y),expand trig
((2*cos(x)*sin(y)) + m) - ((sin(x+y) - sin(x-y)) + m),0,additive_passthrough_zero,expand_trig_product_to_sum_cos_sin,trig_expand,2*cos(x)*sin(y),sin(x+y) - sin(x-y),expand trig
k*(2*cos(x)*sin(y)) - k*(sin(x+y) - sin(x-y)),0,scaled_difference_zero,expand_trig_product_to_sum_cos_sin,trig_expand,2*cos(x)*sin(y),sin(x+y) - sin(x-y),expand trig
((2*cos(x)*sin(y))/q) - ((sin(x+y) - sin(x-y))/q),0,common_denominator_zero,expand_trig_product_to_sum_cos_sin,trig_expand,2*cos(x)*sin(y),sin(x+y) - sin(x-y),expand trig
((2*cos(x)*sin(y)) + 1)/((sin(x+y) - sin(x-y)) + 1),1,shifted_quotient_one,expand_trig_product_to_sum_cos_sin,trig_expand,2*cos(x)*sin(y),sin(x+y) - sin(x-y),expand trig
((2*cos(x)*cos(y)) + m) - ((cos(x+y) + cos(x-y)) + m),0,additive_passthrough_zero,expand_trig_product_to_sum_cos_cos,trig_expand,2*cos(x)*cos(y),cos(x+y) + cos(x-y),expand trig
k*(2*cos(x)*cos(y)) - k*(cos(x+y) + cos(x-y)),0,scaled_difference_zero,expand_trig_product_to_sum_cos_cos,trig_expand,2*cos(x)*cos(y),cos(x+y) + cos(x-y),expand trig
((2*cos(x)*cos(y))/q) - ((cos(x+y) + cos(x-y))/q),0,common_denominator_zero,expand_trig_product_to_sum_cos_cos,trig_expand,2*cos(x)*cos(y),cos(x+y) + cos(x-y),expand trig
((2*cos(x)*cos(y)) + 1)/((cos(x+y) + cos(x-y)) + 1),1,shifted_quotient_one,expand_trig_product_to_sum_cos_cos,trig_expand,2*cos(x)*cos(y),cos(x+y) + cos(x-y),expand trig
((2*sin(x)*sin(y)) + m) - ((cos(x-y) - cos(x+y)) + m),0,additive_passthrough_zero,expand_trig_product_to_sum_sin_sin,trig_expand,2*sin(x)*sin(y),cos(x-y) - cos(x+y),expand trig
k*(2*sin(x)*sin(y)) - k*(cos(x-y) - cos(x+y)),0,scaled_difference_zero,expand_trig_product_to_sum_sin_sin,trig_expand,2*sin(x)*sin(y),cos(x-y) - cos(x+y),expand trig
((2*sin(x)*sin(y))/q) - ((cos(x-y) - cos(x+y))/q),0,common_denominator_zero,expand_trig_product_to_sum_sin_sin,trig_expand,2*sin(x)*sin(y),cos(x-y) - cos(x+y),expand trig
((2*sin(x)*sin(y)) + 1)/((cos(x-y) - cos(x+y)) + 1),1,shifted_quotient_one,expand_trig_product_to_sum_sin_sin,trig_expand,2*sin(x)*sin(y),cos(x-y) - cos(x+y),expand trig
((sin(x)+cos(x)) + m) - ((sqrt(2)*sin(x+pi/4)) + m),0,additive_passthrough_zero,contract_trig_phase_shift_sum_to_shifted_sine,trig_contract,sin(x)+cos(x),sqrt(2)*sin(x+pi/4),contract trig
k*(sin(x)+cos(x)) - k*(sqrt(2)*sin(x+pi/4)),0,scaled_difference_zero,contract_trig_phase_shift_sum_to_shifted_sine,trig_contract,sin(x)+cos(x),sqrt(2)*sin(x+pi/4),contract trig
((sin(x)+cos(x))/q) - ((sqrt(2)*sin(x+pi/4))/q),0,common_denominator_zero,contract_trig_phase_shift_sum_to_shifted_sine,trig_contract,sin(x)+cos(x),sqrt(2)*sin(x+pi/4),contract trig
((sin(x)+cos(x)) + 1)/((sqrt(2)*sin(x+pi/4)) + 1),1,shifted_quotient_one,contract_trig_phase_shift_sum_to_shifted_sine,trig_contract,sin(x)+cos(x),sqrt(2)*sin(x+pi/4),contract trig
((sin(x)-cos(x)) + m) - ((sqrt(2)*sin(x-pi/4)) + m),0,additive_passthrough_zero,contract_trig_phase_shift_difference_to_shifted_sine,trig_contract,sin(x)-cos(x),sqrt(2)*sin(x-pi/4),contract trig
k*(sin(x)-cos(x)) - k*(sqrt(2)*sin(x-pi/4)),0,scaled_difference_zero,contract_trig_phase_shift_difference_to_shifted_sine,trig_contract,sin(x)-cos(x),sqrt(2)*sin(x-pi/4),contract trig
((sin(x)-cos(x))/q) - ((sqrt(2)*sin(x-pi/4))/q),0,common_denominator_zero,contract_trig_phase_shift_difference_to_shifted_sine,trig_contract,sin(x)-cos(x),sqrt(2)*sin(x-pi/4),contract trig
((sin(x)-cos(x)) + 1)/((sqrt(2)*sin(x-pi/4)) + 1),1,shifted_quotient_one,contract_trig_phase_shift_difference_to_shifted_sine,trig_contract,sin(x)-cos(x),sqrt(2)*sin(x-pi/4),contract trig
((sqrt(2)*sin(x+pi/4)) + m) - ((sin(x)+cos(x)) + m),0,additive_passthrough_zero,expand_trig_phase_shift_shifted_sine_to_sum,trig_expand,sqrt(2)*sin(x+pi/4),sin(x)+cos(x),expand trig
k*(sqrt(2)*sin(x+pi/4)) - k*(sin(x)+cos(x)),0,scaled_difference_zero,expand_trig_phase_shift_shifted_sine_to_sum,trig_expand,sqrt(2)*sin(x+pi/4),sin(x)+cos(x),expand trig
((sqrt(2)*sin(x+pi/4))/q) - ((sin(x)+cos(x))/q),0,common_denominator_zero,expand_trig_phase_shift_shifted_sine_to_sum,trig_expand,sqrt(2)*sin(x+pi/4),sin(x)+cos(x),expand trig
((sqrt(2)*sin(x+pi/4)) + 1)/((sin(x)+cos(x)) + 1),1,shifted_quotient_one,expand_trig_phase_shift_shifted_sine_to_sum,trig_expand,sqrt(2)*sin(x+pi/4),sin(x)+cos(x),expand trig
((sqrt(2)*cos(x-pi/4)) + m) - ((sin(x)+cos(x)) + m),0,additive_passthrough_zero,expand_trig_phase_shift_shifted_cosine_to_sum,trig_expand,sqrt(2)*cos(x-pi/4),sin(x)+cos(x),expand trig
k*(sqrt(2)*cos(x-pi/4)) - k*(sin(x)+cos(x)),0,scaled_difference_zero,expand_trig_phase_shift_shifted_cosine_to_sum,trig_expand,sqrt(2)*cos(x-pi/4),sin(x)+cos(x),expand trig
((sqrt(2)*cos(x-pi/4))/q) - ((sin(x)+cos(x))/q),0,common_denominator_zero,expand_trig_phase_shift_shifted_cosine_to_sum,trig_expand,sqrt(2)*cos(x-pi/4),sin(x)+cos(x),expand trig
((sqrt(2)*cos(x-pi/4)) + 1)/((sin(x)+cos(x)) + 1),1,shifted_quotient_one,expand_trig_phase_shift_shifted_cosine_to_sum,trig_expand,sqrt(2)*cos(x-pi/4),sin(x)+cos(x),expand trig
((2*sin(x)+2*cos(x)) + m) - ((2*sqrt(2)*sin(x+pi/4)) + m),0,additive_passthrough_zero,contract_trig_phase_shift_scaled_sum_to_shifted_sine,trig_contract,2*sin(x)+2*cos(x),2*sqrt(2)*sin(x+pi/4),contract trig
k*(2*sin(x)+2*cos(x)) - k*(2*sqrt(2)*sin(x+pi/4)),0,scaled_difference_zero,contract_trig_phase_shift_scaled_sum_to_shifted_sine,trig_contract,2*sin(x)+2*cos(x),2*sqrt(2)*sin(x+pi/4),contract trig
((2*sin(x)+2*cos(x))/q) - ((2*sqrt(2)*sin(x+pi/4))/q),0,common_denominator_zero,contract_trig_phase_shift_scaled_sum_to_shifted_sine,trig_contract,2*sin(x)+2*cos(x),2*sqrt(2)*sin(x+pi/4),contract trig
((2*sin(x)+2*cos(x)) + 1)/((2*sqrt(2)*sin(x+pi/4)) + 1),1,shifted_quotient_one,contract_trig_phase_shift_scaled_sum_to_shifted_sine,trig_contract,2*sin(x)+2*cos(x),2*sqrt(2)*sin(x+pi/4),contract trig
((2*sqrt(2)*sin(x+pi/4)) + m) - ((2*sin(x)+2*cos(x)) + m),0,additive_passthrough_zero,expand_trig_phase_shift_scaled_shifted_sine_to_sum,trig_expand,2*sqrt(2)*sin(x+pi/4),2*sin(x)+2*cos(x),expand trig
k*(2*sqrt(2)*sin(x+pi/4)) - k*(2*sin(x)+2*cos(x)),0,scaled_difference_zero,expand_trig_phase_shift_scaled_shifted_sine_to_sum,trig_expand,2*sqrt(2)*sin(x+pi/4),2*sin(x)+2*cos(x),expand trig
((2*sqrt(2)*sin(x+pi/4))/q) - ((2*sin(x)+2*cos(x))/q),0,common_denominator_zero,expand_trig_phase_shift_scaled_shifted_sine_to_sum,trig_expand,2*sqrt(2)*sin(x+pi/4),2*sin(x)+2*cos(x),expand trig
((2*sqrt(2)*sin(x+pi/4)) + 1)/((2*sin(x)+2*cos(x)) + 1),1,shifted_quotient_one,expand_trig_phase_shift_scaled_shifted_sine_to_sum,trig_expand,2*sqrt(2)*sin(x+pi/4),2*sin(x)+2*cos(x),expand trig
((2*sin(x)+2*sqrt(3)*cos(x)) + m) - ((4*sin(x+pi/3)) + m),0,additive_passthrough_zero,contract_trig_phase_shift_exact_third_scaled_sum_to_shifted_sine,trig_contract,2*sin(x)+2*sqrt(3)*cos(x),4*sin(x+pi/3),contract trig
k*(2*sin(x)+2*sqrt(3)*cos(x)) - k*(4*sin(x+pi/3)),0,scaled_difference_zero,contract_trig_phase_shift_exact_third_scaled_sum_to_shifted_sine,trig_contract,2*sin(x)+2*sqrt(3)*cos(x),4*sin(x+pi/3),contract trig
