expression,expected_result,composition,source_expr_1,source_expr_2
(1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) + (sqrt(x^7) - x^3*sqrt(x)),0,sum,1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b),sqrt(x^7) - x^3*sqrt(x)
(1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) - (sqrt(x^7) - x^3*sqrt(x)),0,difference,1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b),sqrt(x^7) - x^3*sqrt(x)
(1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) * (sqrt(x^7) - x^3*sqrt(x)),0,product,1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b),sqrt(x^7) - x^3*sqrt(x)
((1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) + 1)/((sqrt(x^7) - x^3*sqrt(x)) + 1),1,shifted_quotient,1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b),sqrt(x^7) - x^3*sqrt(x)
(1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) + (x^6 - 1 - (x-1)*(x^5+x^4+x^3+x^2+x+1)),0,sum,1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b),x^6 - 1 - (x-1)*(x^5+x^4+x^3+x^2+x+1)
(1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) - (x^6 - 1 - (x-1)*(x^5+x^4+x^3+x^2+x+1)),0,difference,1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b),x^6 - 1 - (x-1)*(x^5+x^4+x^3+x^2+x+1)
(1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) * (x^6 - 1 - (x-1)*(x^5+x^4+x^3+x^2+x+1)),0,product,1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b),x^6 - 1 - (x-1)*(x^5+x^4+x^3+x^2+x+1)
((1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) + 1)/((x^6 - 1 - (x-1)*(x^5+x^4+x^3+x^2+x+1)) + 1),1,shifted_quotient,1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b),x^6 - 1 - (x-1)*(x^5+x^4+x^3+x^2+x+1)
(1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) + (x^4 + 4*y^4 - (x^2-2*x*y+2*y^2)*(x^2+2*x*y+2*y^2)),0,sum,1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b),x^4 + 4*y^4 - (x^2-2*x*y+2*y^2)*(x^2+2*x*y+2*y^2)
(1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) - (x^4 + 4*y^4 - (x^2-2*x*y+2*y^2)*(x^2+2*x*y+2*y^2)),0,difference,1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b),x^4 + 4*y^4 - (x^2-2*x*y+2*y^2)*(x^2+2*x*y+2*y^2)
(1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) * (x^4 + 4*y^4 - (x^2-2*x*y+2*y^2)*(x^2+2*x*y+2*y^2)),0,product,1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b),x^4 + 4*y^4 - (x^2-2*x*y+2*y^2)*(x^2+2*x*y+2*y^2)
((1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) + 1)/((x^4 + 4*y^4 - (x^2-2*x*y+2*y^2)*(x^2+2*x*y+2*y^2)) + 1),1,shifted_quotient,1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b),x^4 + 4*y^4 - (x^2-2*x*y+2*y^2)*(x^2+2*x*y+2*y^2)
(1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) + (x^2 + 2*x + 1 - (x+1)^2),0,sum,1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b),x^2 + 2*x + 1 - (x+1)^2
(1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) - (x^2 + 2*x + 1 - (x+1)^2),0,difference,1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b),x^2 + 2*x + 1 - (x+1)^2
(1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) * (x^2 + 2*x + 1 - (x+1)^2),0,product,1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b),x^2 + 2*x + 1 - (x+1)^2
((1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) + 1)/((x^2 + 2*x + 1 - (x+1)^2) + 1),1,shifted_quotient,1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b),x^2 + 2*x + 1 - (x+1)^2
(1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) + (x*y + x*z - x*(y+z)),0,sum,1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b),x*y + x*z - x*(y+z)
(1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) - (x*y + x*z - x*(y+z)),0,difference,1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b),x*y + x*z - x*(y+z)
(1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) * (x*y + x*z - x*(y+z)),0,product,1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b),x*y + x*z - x*(y+z)
((1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) + 1)/((x*y + x*z - x*(y+z)) + 1),1,shifted_quotient,1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b),x*y + x*z - x*(y+z)
(1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) + ((a+b+c)/x - a/x - b/x - c/x),0,sum,1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b),(a+b+c)/x - a/x - b/x - c/x
(1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) - ((a+b+c)/x - a/x - b/x - c/x),0,difference,1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b),(a+b+c)/x - a/x - b/x - c/x
(1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) * ((a+b+c)/x - a/x - b/x - c/x),0,product,1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b),(a+b+c)/x - a/x - b/x - c/x
((1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) + 1)/(((a+b+c)/x - a/x - b/x - c/x) + 1),1,shifted_quotient,1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b),(a+b+c)/x - a/x - b/x - c/x
(1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) + (a + b/x - (a*x+b)/x),0,sum,1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b),a + b/x - (a*x+b)/x
(1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) - (a + b/x - (a*x+b)/x),0,difference,1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b),a + b/x - (a*x+b)/x
(1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) * (a + b/x - (a*x+b)/x),0,product,1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b),a + b/x - (a*x+b)/x
((1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) + 1)/((a + b/x - (a*x+b)/x) + 1),1,shifted_quotient,1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b),a + b/x - (a*x+b)/x
(1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) + ((x^2 - 1)/(x - 1) - (x+1)),0,sum,1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b),(x^2 - 1)/(x - 1) - (x+1)
(1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) - ((x^2 - 1)/(x - 1) - (x+1)),0,difference,1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b),(x^2 - 1)/(x - 1) - (x+1)
(1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) * ((x^2 - 1)/(x - 1) - (x+1)),0,product,1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b),(x^2 - 1)/(x - 1) - (x+1)
((1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) + 1)/(((x^2 - 1)/(x - 1) - (x+1)) + 1),1,shifted_quotient,1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b),(x^2 - 1)/(x - 1) - (x+1)
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + (ln(x^3) + ln(y^2) - ln(x^3 * y^2)),0,sum,ln(x^2 - y^2) - ln(x - y) - ln(x + y),ln(x^3) + ln(y^2) - ln(x^3 * y^2)
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) - (ln(x^3) + ln(y^2) - ln(x^3 * y^2)),0,difference,ln(x^2 - y^2) - ln(x - y) - ln(x + y),ln(x^3) + ln(y^2) - ln(x^3 * y^2)
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) * (ln(x^3) + ln(y^2) - ln(x^3 * y^2)),0,product,ln(x^2 - y^2) - ln(x - y) - ln(x + y),ln(x^3) + ln(y^2) - ln(x^3 * y^2)
((ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + 1)/((ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + 1),1,shifted_quotient,ln(x^2 - y^2) - ln(x - y) - ln(x + y),ln(x^3) + ln(y^2) - ln(x^3 * y^2)
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + (1 + 1/(1 + 1/(1 + 1/x)) - (3*x + 2)/(2*x + 1)),0,sum,ln(x^2 - y^2) - ln(x - y) - ln(x + y),1 + 1/(1 + 1/(1 + 1/x)) - (3*x + 2)/(2*x + 1)
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) - (1 + 1/(1 + 1/(1 + 1/x)) - (3*x + 2)/(2*x + 1)),0,difference,ln(x^2 - y^2) - ln(x - y) - ln(x + y),1 + 1/(1 + 1/(1 + 1/x)) - (3*x + 2)/(2*x + 1)
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) * (1 + 1/(1 + 1/(1 + 1/x)) - (3*x + 2)/(2*x + 1)),0,product,ln(x^2 - y^2) - ln(x - y) - ln(x + y),1 + 1/(1 + 1/(1 + 1/x)) - (3*x + 2)/(2*x + 1)
((ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + 1)/((1 + 1/(1 + 1/(1 + 1/x)) - (3*x + 2)/(2*x + 1)) + 1),1,shifted_quotient,ln(x^2 - y^2) - ln(x - y) - ln(x + y),1 + 1/(1 + 1/(1 + 1/x)) - (3*x + 2)/(2*x + 1)
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + (tan(x) + cot(x) - sec(x)*csc(x)),0,sum,ln(x^2 - y^2) - ln(x - y) - ln(x + y),tan(x) + cot(x) - sec(x)*csc(x)
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) - (tan(x) + cot(x) - sec(x)*csc(x)),0,difference,ln(x^2 - y^2) - ln(x - y) - ln(x + y),tan(x) + cot(x) - sec(x)*csc(x)
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) * (tan(x) + cot(x) - sec(x)*csc(x)),0,product,ln(x^2 - y^2) - ln(x - y) - ln(x + y),tan(x) + cot(x) - sec(x)*csc(x)
((ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + 1)/((tan(x) + cot(x) - sec(x)*csc(x)) + 1),1,shifted_quotient,ln(x^2 - y^2) - ln(x - y) - ln(x + y),tan(x) + cot(x) - sec(x)*csc(x)
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + (1/(x - 1) - 1/(x + 1) - 2/(x^2 - 1)),0,sum,ln(x^2 - y^2) - ln(x - y) - ln(x + y),1/(x - 1) - 1/(x + 1) - 2/(x^2 - 1)
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) - (1/(x - 1) - 1/(x + 1) - 2/(x^2 - 1)),0,difference,ln(x^2 - y^2) - ln(x - y) - ln(x + y),1/(x - 1) - 1/(x + 1) - 2/(x^2 - 1)
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) * (1/(x - 1) - 1/(x + 1) - 2/(x^2 - 1)),0,product,ln(x^2 - y^2) - ln(x - y) - ln(x + y),1/(x - 1) - 1/(x + 1) - 2/(x^2 - 1)
((ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + 1)/((1/(x - 1) - 1/(x + 1) - 2/(x^2 - 1)) + 1),1,shifted_quotient,ln(x^2 - y^2) - ln(x - y) - ln(x + y),1/(x - 1) - 1/(x + 1) - 2/(x^2 - 1)
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + (1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)),0,sum,ln(x^2 - y^2) - ln(x - y) - ln(x + y),1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) - (1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)),0,difference,ln(x^2 - y^2) - ln(x - y) - ln(x + y),1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) * (1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)),0,product,ln(x^2 - y^2) - ln(x - y) - ln(x + y),1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)
((ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + 1)/((1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) + 1),1,shifted_quotient,ln(x^2 - y^2) - ln(x - y) - ln(x + y),1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + (sin(x)^2 - (1 - cos(2*x))/2),0,sum,ln(x^2 - y^2) - ln(x - y) - ln(x + y),sin(x)^2 - (1 - cos(2*x))/2
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) - (sin(x)^2 - (1 - cos(2*x))/2),0,difference,ln(x^2 - y^2) - ln(x - y) - ln(x + y),sin(x)^2 - (1 - cos(2*x))/2
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) * (sin(x)^2 - (1 - cos(2*x))/2),0,product,ln(x^2 - y^2) - ln(x - y) - ln(x + y),sin(x)^2 - (1 - cos(2*x))/2
((ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + 1)/((sin(x)^2 - (1 - cos(2*x))/2) + 1),1,shifted_quotient,ln(x^2 - y^2) - ln(x - y) - ln(x + y),sin(x)^2 - (1 - cos(2*x))/2
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + (cosh(x) + sinh(x) - e^x),0,sum,ln(x^2 - y^2) - ln(x - y) - ln(x + y),cosh(x) + sinh(x) - e^x
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) - (cosh(x) + sinh(x) - e^x),0,difference,ln(x^2 - y^2) - ln(x - y) - ln(x + y),cosh(x) + sinh(x) - e^x
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) * (cosh(x) + sinh(x) - e^x),0,product,ln(x^2 - y^2) - ln(x - y) - ln(x + y),cosh(x) + sinh(x) - e^x
((ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + 1)/((cosh(x) + sinh(x) - e^x) + 1),1,shifted_quotient,ln(x^2 - y^2) - ln(x - y) - ln(x + y),cosh(x) + sinh(x) - e^x
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + ((sin(x) + cos(x))^2 - (1 + sin(2*x))),0,sum,ln(x^2 - y^2) - ln(x - y) - ln(x + y),(sin(x) + cos(x))^2 - (1 + sin(2*x))
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) - ((sin(x) + cos(x))^2 - (1 + sin(2*x))),0,difference,ln(x^2 - y^2) - ln(x - y) - ln(x + y),(sin(x) + cos(x))^2 - (1 + sin(2*x))
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) * ((sin(x) + cos(x))^2 - (1 + sin(2*x))),0,product,ln(x^2 - y^2) - ln(x - y) - ln(x + y),(sin(x) + cos(x))^2 - (1 + sin(2*x))
((ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + 1)/(((sin(x) + cos(x))^2 - (1 + sin(2*x))) + 1),1,shifted_quotient,ln(x^2 - y^2) - ln(x - y) - ln(x + y),(sin(x) + cos(x))^2 - (1 + sin(2*x))
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + (2*cos(2*x)*sin(x) - (4*cos(x)^2*sin(x) - 2*sin(x))),0,sum,ln(x^2 - y^2) - ln(x - y) - ln(x + y),2*cos(2*x)*sin(x) - (4*cos(x)^2*sin(x) - 2*sin(x))
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) - (2*cos(2*x)*sin(x) - (4*cos(x)^2*sin(x) - 2*sin(x))),0,difference,ln(x^2 - y^2) - ln(x - y) - ln(x + y),2*cos(2*x)*sin(x) - (4*cos(x)^2*sin(x) - 2*sin(x))
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) * (2*cos(2*x)*sin(x) - (4*cos(x)^2*sin(x) - 2*sin(x))),0,product,ln(x^2 - y^2) - ln(x - y) - ln(x + y),2*cos(2*x)*sin(x) - (4*cos(x)^2*sin(x) - 2*sin(x))
((ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + 1)/((2*cos(2*x)*sin(x) - (4*cos(x)^2*sin(x) - 2*sin(x))) + 1),1,shifted_quotient,ln(x^2 - y^2) - ln(x - y) - ln(x + y),2*cos(2*x)*sin(x) - (4*cos(x)^2*sin(x) - 2*sin(x))
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + (2*sin(2*x)*sin(x) - (4*cos(x) - 4*cos(x)^3)),0,sum,ln(x^2 - y^2) - ln(x - y) - ln(x + y),2*sin(2*x)*sin(x) - (4*cos(x) - 4*cos(x)^3)
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) - (2*sin(2*x)*sin(x) - (4*cos(x) - 4*cos(x)^3)),0,difference,ln(x^2 - y^2) - ln(x - y) - ln(x + y),2*sin(2*x)*sin(x) - (4*cos(x) - 4*cos(x)^3)
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) * (2*sin(2*x)*sin(x) - (4*cos(x) - 4*cos(x)^3)),0,product,ln(x^2 - y^2) - ln(x - y) - ln(x + y),2*sin(2*x)*sin(x) - (4*cos(x) - 4*cos(x)^3)
((ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + 1)/((2*sin(2*x)*sin(x) - (4*cos(x) - 4*cos(x)^3)) + 1),1,shifted_quotient,ln(x^2 - y^2) - ln(x - y) - ln(x + y),2*sin(2*x)*sin(x) - (4*cos(x) - 4*cos(x)^3)
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + (sin(x) + sin(y) - 2*sin((x+y)/2)*cos((x-y)/2)),0,sum,ln(x^2 - y^2) - ln(x - y) - ln(x + y),sin(x) + sin(y) - 2*sin((x+y)/2)*cos((x-y)/2)
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) - (sin(x) + sin(y) - 2*sin((x+y)/2)*cos((x-y)/2)),0,difference,ln(x^2 - y^2) - ln(x - y) - ln(x + y),sin(x) + sin(y) - 2*sin((x+y)/2)*cos((x-y)/2)
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) * (sin(x) + sin(y) - 2*sin((x+y)/2)*cos((x-y)/2)),0,product,ln(x^2 - y^2) - ln(x - y) - ln(x + y),sin(x) + sin(y) - 2*sin((x+y)/2)*cos((x-y)/2)
((ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + 1)/((sin(x) + sin(y) - 2*sin((x+y)/2)*cos((x-y)/2)) + 1),1,shifted_quotient,ln(x^2 - y^2) - ln(x - y) - ln(x + y),sin(x) + sin(y) - 2*sin((x+y)/2)*cos((x-y)/2)
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + (cos(x) - cos(y) + 2*sin((x+y)/2)*sin((x-y)/2)),0,sum,ln(x^2 - y^2) - ln(x - y) - ln(x + y),cos(x) - cos(y) + 2*sin((x+y)/2)*sin((x-y)/2)
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) - (cos(x) - cos(y) + 2*sin((x+y)/2)*sin((x-y)/2)),0,difference,ln(x^2 - y^2) - ln(x - y) - ln(x + y),cos(x) - cos(y) + 2*sin((x+y)/2)*sin((x-y)/2)
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) * (cos(x) - cos(y) + 2*sin((x+y)/2)*sin((x-y)/2)),0,product,ln(x^2 - y^2) - ln(x - y) - ln(x + y),cos(x) - cos(y) + 2*sin((x+y)/2)*sin((x-y)/2)
((ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + 1)/((cos(x) - cos(y) + 2*sin((x+y)/2)*sin((x-y)/2)) + 1),1,shifted_quotient,ln(x^2 - y^2) - ln(x - y) - ln(x + y),cos(x) - cos(y) + 2*sin((x+y)/2)*sin((x-y)/2)
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + (3*sin(x) + 4*cos(x) - 5*sin(x + arctan(4/3))),0,sum,ln(x^2 - y^2) - ln(x - y) - ln(x + y),3*sin(x) + 4*cos(x) - 5*sin(x + arctan(4/3))
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) - (3*sin(x) + 4*cos(x) - 5*sin(x + arctan(4/3))),0,difference,ln(x^2 - y^2) - ln(x - y) - ln(x + y),3*sin(x) + 4*cos(x) - 5*sin(x + arctan(4/3))
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) * (3*sin(x) + 4*cos(x) - 5*sin(x + arctan(4/3))),0,product,ln(x^2 - y^2) - ln(x - y) - ln(x + y),3*sin(x) + 4*cos(x) - 5*sin(x + arctan(4/3))
((ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + 1)/((3*sin(x) + 4*cos(x) - 5*sin(x + arctan(4/3))) + 1),1,shifted_quotient,ln(x^2 - y^2) - ln(x - y) - ln(x + y),3*sin(x) + 4*cos(x) - 5*sin(x + arctan(4/3))
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + (2*sinh(2*x)*sinh(x) - (4*cosh(x)^3 - 4*cosh(x))),0,sum,ln(x^2 - y^2) - ln(x - y) - ln(x + y),2*sinh(2*x)*sinh(x) - (4*cosh(x)^3 - 4*cosh(x))
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) - (2*sinh(2*x)*sinh(x) - (4*cosh(x)^3 - 4*cosh(x))),0,difference,ln(x^2 - y^2) - ln(x - y) - ln(x + y),2*sinh(2*x)*sinh(x) - (4*cosh(x)^3 - 4*cosh(x))
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) * (2*sinh(2*x)*sinh(x) - (4*cosh(x)^3 - 4*cosh(x))),0,product,ln(x^2 - y^2) - ln(x - y) - ln(x + y),2*sinh(2*x)*sinh(x) - (4*cosh(x)^3 - 4*cosh(x))
((ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + 1)/((2*sinh(2*x)*sinh(x) - (4*cosh(x)^3 - 4*cosh(x))) + 1),1,shifted_quotient,ln(x^2 - y^2) - ln(x - y) - ln(x + y),2*sinh(2*x)*sinh(x) - (4*cosh(x)^3 - 4*cosh(x))
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + (sinh(x+y) - (sinh(x)*cosh(y) + cosh(x)*sinh(y))),0,sum,ln(x^2 - y^2) - ln(x - y) - ln(x + y),sinh(x+y) - (sinh(x)*cosh(y) + cosh(x)*sinh(y))
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) - (sinh(x+y) - (sinh(x)*cosh(y) + cosh(x)*sinh(y))),0,difference,ln(x^2 - y^2) - ln(x - y) - ln(x + y),sinh(x+y) - (sinh(x)*cosh(y) + cosh(x)*sinh(y))
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) * (sinh(x+y) - (sinh(x)*cosh(y) + cosh(x)*sinh(y))),0,product,ln(x^2 - y^2) - ln(x - y) - ln(x + y),sinh(x+y) - (sinh(x)*cosh(y) + cosh(x)*sinh(y))
((ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + 1)/((sinh(x+y) - (sinh(x)*cosh(y) + cosh(x)*sinh(y))) + 1),1,shifted_quotient,ln(x^2 - y^2) - ln(x - y) - ln(x + y),sinh(x+y) - (sinh(x)*cosh(y) + cosh(x)*sinh(y))
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + ((a^3-b^3)/(a-b) - (a^2 + a*b + b^2)),0,sum,ln(x^2 - y^2) - ln(x - y) - ln(x + y),(a^3-b^3)/(a-b) - (a^2 + a*b + b^2)
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) - ((a^3-b^3)/(a-b) - (a^2 + a*b + b^2)),0,difference,ln(x^2 - y^2) - ln(x - y) - ln(x + y),(a^3-b^3)/(a-b) - (a^2 + a*b + b^2)
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) * ((a^3-b^3)/(a-b) - (a^2 + a*b + b^2)),0,product,ln(x^2 - y^2) - ln(x - y) - ln(x + y),(a^3-b^3)/(a-b) - (a^2 + a*b + b^2)
((ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + 1)/(((a^3-b^3)/(a-b) - (a^2 + a*b + b^2)) + 1),1,shifted_quotient,ln(x^2 - y^2) - ln(x - y) - ln(x + y),(a^3-b^3)/(a-b) - (a^2 + a*b + b^2)
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + (sqrt(a^2 + 2*a*b + b^2) - abs(a+b)),0,sum,ln(x^2 - y^2) - ln(x - y) - ln(x + y),sqrt(a^2 + 2*a*b + b^2) - abs(a+b)
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) - (sqrt(a^2 + 2*a*b + b^2) - abs(a+b)),0,difference,ln(x^2 - y^2) - ln(x - y) - ln(x + y),sqrt(a^2 + 2*a*b + b^2) - abs(a+b)
(ln(x^2 - y^2) - ln(x - y) - ln(x + y)) * (sqrt(a^2 + 2*a*b + b^2) - abs(a+b)),0,product,ln(x^2 - y^2) - ln(x - y) - ln(x + y),sqrt(a^2 + 2*a*b + b^2) - abs(a+b)
((ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + 1)/((sqrt(a^2 + 2*a*b + b^2) - abs(a+b)) + 1),1,shifted_quotient,ln(x^2 - y^2) - ln(x - y) - ln(x + y),sqrt(a^2 + 2*a*b + b^2) - abs(a+b)
